"age_cat","flua_h1n1pdm_gm","flua_h3n2_gm","flub_victoria_gm","flub_yamagata_gm"
"5-11",20,56.568,5,5
"5-11",320,40,7.071,160
"12-18",80,20,10,80
">40",56.568,5,113.137,5
">40",10,40,7.071,14.142
"19-40",113.137,113.137,7.071,40
"19-40",40,113.137,14.142,40
"12-18",28.284,226.274,5,56.568
"5-11",80,80,14.142,452.548
"<5",226.274,5,5,160
"<5",80,113.137,5,80
"5-11",160,7.071,14.142,160
"<5",80,226.274,5,160
">40",10,226.274,5,5
"19-40",5,160,7.071,5
"19-40",19.4055836456957,16.8073728248601,23.0300082312305,59.5584410272048
"12-18",5,905.096,56.568,226.274
"12-18",56.568,640,56.568,56.568
"5-11",56.568,640,226.274,7.071
"<5",113.137,1280,640,226.274
">40",40,452.548,320,113.137
">40",40,640,320,113.137
"12-18",5,20,5,5
"5-11",5,56.568,28.284,113.137
"<5",5,113.137,7.071,56.568
">40",20,5,7.071,28.284
"19-40",40,5,5,5
"5-11",40,56.568,20,56.568
"5-11",226.274,80,160,5
"<5",28.284,80,7.071,7.071
">40",7.071,113.137,56.568,80
"12-18",113.137,56.568,20,7.071
"12-18",226.274,113.137,20,7.071
"5-11",113.137,28.284,20,56.568
"5-11",113.137,160,80,14.142
"<5",40,14.142,5,113.137
"<5",15.1450963166875,116.963524136328,65.2168873001004,51.6337962250374
"<5",226.274,28.284,5,5
">40",28.284,28.284,14.142,5
"19-40",160,56.568,10,7.071
"12-18",56.568,14.142,10,7.071
"12-18",80,160,40,20
">40",5,7.071,14.142,10
"19-40",5,5,5,5
"5-11",80,226.274,20,5
"<5",160,5,56.568,56.568
"12-18",28.284,20,28.284,56.568
"12-18",113.137,20,28.284,28.284
">40",5,20,10,80
">40",10,113.137,80,5
">40",320,5,56.568,320
"19-40",113.137,5,56.568,40
"19-40",5,905.096,56.568,80
"12-18",113.137,113.137,20,28.284
"12-18",40,40,452.548,5
"5-11",320,160,113.137,5
"5-11",160,56.568,113.137,5
"5-11",40,10,80,5
"5-11",56.568,10,113.137,5
"5-11",80,14.142,452.548,5
">40",113.137,320,40,56.568
"12-18",160,113.137,113.137,160
"5-11",20,56.568,5,113.137
"5-11",40,113.137,5,40
"19-40",7.071,20,28.284,28.284
"5-11",80,56.568,40,40
"<5",160,452.548,80,40
"19-40",5,452.548,7.071,14.142
"5-11",5,905.096,40,5
">40",5,5,5,5
"12-18",14.142,56.568,10,56.568
"5-11",113.137,452.548,226.274,5
"19-40",5,56.568,7.071,28.284
">40",14.142,28.284,5,28.284
"19-40",56.568,226.274,28.284,113.137
"12-18",226.274,226.274,226.274,226.274
"12-18",28.284,226.274,56.568,28.284
">40",5,5,7.071,5
">40",28.284,7.071,14.142,28.284
"19-40",28.284,226.274,14.142,113.137
"12-18",113.137,905.096,56.568,20
"12-18",452.548,320,56.568,28.284
"5-11",40,14.142,5,28.284
"5-11",14.142,113.137,14.142,14.142
">40",10,905.096,40,14.142
"12-18",40,20,28.284,226.274
"19-40",5,20,14.142,10
"12-18",7.071,640,28.284,113.137
"12-18",40,80,20,14.142
"5-11",5,320,40,113.137
"<5",127.531787194981,88.2063276629536,38.8669732739791,65.9764552931203
">40",226.274,7.071,80,113.137
"12-18",56.568,320,56.568,113.137
"12-18",226.274,160,40,14.142
"<5",226.274,5,320,5
">40",14.142,80,40,40
">40",5,14.142,80,80
"5-11",160,320,28.284,40
"5-11",14.142,226.274,226.274,40
"5-11",100.162919516893,78.3208574810381,98.6952331877906,46.849926275791
"<5",5,40,80,20
"<5",113.137,80,80,7.071
">40",40,5,5,5
"19-40",113.137,452.548,28.284,160
"12-18",56.5147308656445,617.886182586596,60.7287982971208,47.1726474635065
"5-11",80,226.274,160,20
"5-11",160,80,40,5
">40",80,28.284,28.284,80
"19-40",160,14.142,14.142,80
"12-18",40,40,80,80
"12-18",56.568,14.142,10,7.071
"5-11",80,5,80,5
"<5",113.137,113.137,5,5
"5-11",28.284,28.284,14.142,56.568
">40",14.142,320,14.142,20
"12-18",113.137,80,14.142,80
"<5",320,320,56.568,160
">40",28.284,56.568,5,56.568
"12-18",28.284,56.568,28.284,14.142
"5-11",184.116090295945,182.61232112933,58.8188910784322,6.59282246454079
">40",5,20,14.142,28.284
"19-40",14.142,28.284,10,28.284
"5-11",28.284,113.137,80,5
"<5",5,28.284,40,80
">40",5,113.137,40,5
">40",7.071,113.137,7.071,7.071
"12-18",20,640,28.284,7.071
"5-11",20,1280,7.071,7.071
">40",40,640,56.568,56.568
"19-40",56.568,905.096,56.568,56.568
"12-18",226.274,905.096,113.137,40
"5-11",226.274,640,113.137,40
"5-11",1280,905.096,160,80
"5-11",226.274,160,160,10
">40",20,320,28.284,80
"12-18",56.5147308656445,150.714105818671,36.1922299283276,47.1726474635065
"12-18",113.137,1280,28.284,40
">40",56.568,113.137,28.284,40
"12-18",40,640,56.568,80
"12-18",452.548,1280,80,80
"5-11",640,1280,40,5
"<5",320,5,10,80
"<5",5,5.2479543128836,5,9.28434879548615
"19-40",160,5,56.568,56.568
"19-40",14.142,7.071,5,40
"12-18",5,28.284,20,5
"5-11",14.142,40,10,10
"<5",56.568,28.284,5,14.142
"19-40",28.284,226.274,5,7.071
"5-11",40,40,28.284,5
"19-40",10,7.071,5,56.568
"12-18",5,56.568,56.568,28.284
"5-11",40,14.142,40,40
"<5",37.7437924783978,5.2479543128836,5,5.68646100097843
">40",5,5,56.568,28.284
"12-18",7.071,113.137,14.142,7.071
"5-11",14.142,28.284,56.568,5
"<5",113.137,14.142,113.137,56.568
">40",28.284,28.284,226.274,452.548
"19-40",5,7.071,5,14.142
"12-18",14.142,226.274,56.568,56.568
"5-11",80,80,20,80
"5-11",113.137,160,5,5
">40",7.071,7.071,40,7.071
">40",7.071,20,5,5
"5-11",113.137,320,160,113.137
"19-40",14.142,160,40,40
"5-11",20,28.284,40,14.142
"5-11",80,113.137,80,80
"12-18",5,113.137,56.568,5
">40",7.071,160,80,40
">40",56.568,113.137,28.284,80
"<5",5,113.137,5,20
"5-11",113.137,113.137,28.284,5
">40",40,28.284,20,28.284
"19-40",7.071,226.274,40,5
"19-40",56.568,452.548,7.071,40
"12-18",113.137,40,56.568,40
"5-11",56.568,113.137,113.137,56.568
